58,Taipei,2017/01/02,古亭,1.8,0.5,0,24.8,33,22,26.62,5.98,20.64,2.114,0.159,1.955,1.73,1.37,21.4,0,0,74.51,0
59,Taipei,2017/01/02,中山,2.1,0.64,0,19.1,31,16,36.04,9.05,27,2.213,0.212,2.001,1.73,1.2,22.03,0,0,77.98,0
60,Taipei,2017/01/02,大同,2.8,1.09,0,0,45,12,64.73,33.41,31.33,2.524,0.344,2.18,0,0,0,0,0,0,0
61,Taipei,2017/01/02,萬華,2.3,0.54,0,20.7,32,17,31.81,7,24.81,0,0,0,1.63,1.26,22.06,0,0,73.97,0
62,Taipei,2017/01/02,陽明,1.6,0.21,411.64,38.8,15,11,3.95,1.15,2.79,0,0,0,0,0,15.38,0,0,92.58,0
63,Taipei,2017/01/02,士林,2.9,0.39,0,27.2,30,16,19.61,3.59,16.02,0,0,0,1.52,1.34,21.57,0,0,74.19,0
64,Taipei,2017/01/01,松山,1.7,0.3,417.98,33.1,22,9,15.3,3.58,11.72,1.856,0.07,1.786,1.87,1.33,22.59,0,0,64.73,0
65,Taipei,2017/01/01,古亭,1.3,0.3,0,33,18,12,14.64,2.64,12,1.934,0.067,1.868,2.54,2.34,22.98,0,0,64.83,0
66,Taipei,2017/01/01,中山,2.1,0.44,0,26.1,22,9,24.96,6.63,18.34,2.01,0.12,1.89,2.44,2.24,23.21,0,0,68.68,0
67,Taipei,2017/01/01,大同,0.8,0.7,0,0,34,6,49.59,23.87,25.72,2.171,0.193,1.978,0,0,0,0,0,0,0
68,Taipei,2017/01/01,萬華,1.4,0.39,0,25.8,23,9,26.82,6.93,19.89,0,0,0,2.41,2.23,23.47,0,0,64.6,0
69,Taipei,2017/01/01,陽明,1.2,0.14,407.44,41.6,9,5,1.62,0.38,1.21,0,0,0,0,0,15.64,0,0,88.55,0
70,Taipei,2017/01/01,士林,1.4,0.2,0,39.1,20,9,7.54,1.38,6.16,0,0,0,2.81,2.6,22.94,0,0,65.21,0
71,新北市,2017/01/10,板橋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,新北市,2017/01/10,三重,5,2.23,0,0,68,30,95.09,57.14,37.95,2.554,0.438,2.116,0,0,19.45,0,0,61.66,0
73,新北市,2017/01/10,菜寮,4.4,0.57,0,35,50,28,18.69,2.42,16.27,0,0,0,3.39,3.18,19.37,0,0,62.88,0
74,新北市,2017/01/10,永和,2.3,0.63,0,36.8,45,33,19.51,5.23,14.29,2.098,0.173,1.925,2.86,2.81,18.85,0,0,65.5,0
75,新北市,2017/01/10,新莊,3.5,0.57,0,34.8,51,24,18.45,2.53,15.94,0,0,0,4.59,4.47,19.15,0,0,59.28,0
76,新北市,2017/01/10,新店,1.6,0.52,0,39.6,45,33,14.94,2.55,12.37,0,0,0,2.22,1.84,18.67,0,0,64.13,0
77,新北市,2017/01/10,淡水,1.8,0.49,0,31.5,49,28,12.12,2.41,9.71,0,0,0,0,0,0,0,0,0,0
78,新北市,2017/01/10,汐止,3,0.53,0,33,50,33,23.1,5.57,17.53,0,0,0,2.41,1.97,17.65,0,0,66.99,0
79,新北市,2017/01/10,土城,1.1,0.54,0,38,49,27,14.1,1.88,12.22,2.085,0.13,1.955,1.76,0.36,19.03,0,0,63.91,0
80,新北市,2017/01/10,林口,3.5,0.46,0,36.1,68,36,17.46,3.82,13.63,0,0,0,3.54,3.08,16.68,0,0,72.1,0
81,新北市,2017/01/10,萬里,1.6,0.38,0,50.3,71,34,4.66,1.34,3.32,0,0,0,6.09,5.96,18.02,0,0,68.18,0
82,新北市,2017/01/09,板橋,0,0,0,0,47,19,0,0,0,0,0,0,3.12,2.63,18.52,0,0,67.74,0
83,新北市,2017/01/09,三重,3.3,1.63,0,0,56,20,101.17,65.47,35.71,2.588,0.473,2.115,0,0,18.66,0,0,65.04,0
84,新北市,2017/01/09,菜寮,1.7,0.6,0,34.5,39,22,14.19,1.94,12.24,0,0,0,3.24,3.11,18.61,0,0,66.9,0
85,新北市,2017/01/09,永和,2.8,0.74,0,31.3,42,27,22.6,6.36,16.24,2.141,0.189,1.952,2.9,2.71,17.93,0,0,71.05,0
86,新北市,2017/01/09,新莊,2.4,0.6,0,34.1,41,17,14.45,1.23,13.22,0,0,0,4.71,4.46,18.17,0,0,63.49,0
87,新北市,2017/01/09,新店,1.9,0.59,0,34.8,39,26,15.5,2.1,13.37,0,0,0,2.02,1.61,17.58,0,0,70.24,0
88,新北市,2017/01/09,淡水,1.5,0.55,0,31.9,43,21,10.4,1.99,8.4,0,0,0,0,0,0,0,0,0,0
89,新北市,2017/01/09,汐止,3,0.56,0,31.8,43,27,18.02,2.8,15.22,0,0,0,2.37,2.2,16.35,0,0,74.65,0
90,新北市,2017/01/09,土城,3.3,0.6,0,31.2,44,22,18.78,3.54,15.25,2.115,0.139,1.976,1.52,0.69,18.14,0,0,69.73,0
91,新北市,2017/01/09,林口,2.2,0.5,0,33.6,59,28,16.45,3.66,12.79,0,0,0,3.05,2.8,15.78,0,0,77.32,0
92,新北市,2017/01/09,萬里,1.2,0.45,0,45.4,79,27,5.68,1.71,3.97,0,0,0,6.42,5.91,17.48,0,0,71.77,0
93,新北市,2017/01/08,板橋,4.4,0.66,0,15.3,50,21,27.29,5.96,21.34,2.209,0.24,1.969,2.04,1.7,20.91,0,0,76.83,0
94,新北市,2017/01/08,三重,3.2,1.59,0,0,50,19,88.36,55.5,32.86,2.697,0.519,2.178,0,0,21.1,0,0,75.48,0
95,新北市,2017/01/08,菜寮,3,0.73,0,19.5,41,26,26.24,6.94,19.29,0,0,0,2.05,1.79,21.71,0,0,79.39,0
96,新北市,2017/01/08,永和,1.6,0.82,0,17.9,32,21,29.44,10.5,18.94,2.244,0.254,1.99,1.9,1.73,20.6,0,0,79.75,0
97,新北市,2017/01/08,新莊,3.1,0.69,0,17.6,42,20,26.76,7.58,19.18,0,0,0,2.31,2.01,20.59,0,0,74.4,0
98,新北市,2017/01/08,新店,3.1,0.55,0,18.9,29,18,19.36,3.83,15.53,0,0,0,1.51,1,20.09,0,0,78.9,0
99,新北市,2017/01/08,淡水,2.2,0.51,0,22.9,40,21,14.04,2.37,11.67,0,0,0,0,0,0,0,0,0,0
100,新北市,2017/01/08,汐止,1.9,0.6,0,19.9,37,24,22.34,6.84,15.5,0,0,0,1.98,1.77,18.79,0,0,86.79,0
101,新北市,2017/01/08,土城,3.4,0.62,0,17.3,37,21,24.03,6.91,17.11,2.185,0.186,1.999,1.26,0.55,20.52,0,0,80.78,0
102,新北市,2017/01/08,林口,1.7,0.45,0,22.7,52,25,16.96,2.52,14.44,0,0,0,2.16,1.79,18.75,0,0,86.05,0
103,新北市,2017/01/08,萬里,2.3,0.42,0,30.1,48,14,10,1.82,8.18,0,0,0,2.59,1.94,19,1.31,3.65,86.95,221.05
104,新北市,2017/01/07,板橋,5,0.65,0,18.3,65,28,31.66,5.96,25.7,2.246,0.3,1.946,1.69,1.41,23.02,0,0,77.65,0
105,新北市,2017/01/07,三重,4.8,1.64,0,0,62,18,111.31,70.51,40.8,2.691,0.579,2.112,0,0,22.89,0,0,77.72,0
106,新北市,2017/01/07,菜寮,3.1,0.63,0,20.2,45,27,28.98,4.4,24.58,0,0,0,1.49,1.09,23.67,0,0,82.5,0
107,新北市,2017/01/07,永和,2.6,1.24,0,14.6,47,30,54.86,23.26,31.61,2.471,0.458,2.013,1.06,0.68,22.92,0,0,79.15,0
108,新北市,2017/01/07,新莊,4.9,0.62,0,21.3,52,27,27.37,5.52,21.85,0,0,0,1.32,1.03,22.66,0,0,74.24,0
109,新北市,2017/01/07,新店,3,0.54,0,20.3,46,30,24.4,4.61,19.79,0,0,0,1.5,1.1,22.24,0,0,78.56,0
110,新北市,2017/01/07,淡水,2.7,0.41,0,19.1,40,21,18.16,3.06,15.1,0,0,0,0,0,0,0,0,0,0
111,新北市,2017/01/07,汐止,3.9,0.57,0,25.8,43,27,29.06,5.52,23.54,0,0,0,1.29,1,21.6,0,0,82.77,0
112,新北市,2017/01/07,土城,3.8,0.57,0,18.4,51,30,28.02,6.91,21.11,2.199,0.243,1.956,1.16,0.86,22.55,0,0,81.42,0
113,新北市,2017/01/07,林口,3.2,0.39,0,24.5,71,37,20.33,3.89,16.44,0,0,0,1.71,1.38,20.31,0,0,89.87,0
114,新北市,2017/01/07,萬里,2.7,0.3,0,33.5,50,15,12.81,2.85,9.96,0,0,0,1.53,1.12,21.27,3.5,4.36,86.98,31.23
115,新北市,2017/01/06,板橋,7.1,0.77,0,14.3,78,37,41.15,9.37,31.78,2.366,0.391,1.975,1.81,1.39,22.74,0,0,76.63,0
116,新北市,2017/01/06,三重,5.2,1.76,0,0,79,31,120.81,76.66,44.15,2.761,0.643,2.117,0,0,22.86,0,0,74.54,0
117,新北市,2017/01/06,菜寮,4.4,0.67,0,20.1,59,36,33.72,6.47,27.25,0,0,0,1.61,1.27,23.35,0,0,78.79,0
118,新北市,2017/01/06,永和,3.6,0.99,0,14,60,39,47.17,16.65,30.52,2.39,0.389,2.001,1.52,1.43,22.52,0,0,78.65,0
119,新北市,2017/01/06,新莊,3.4,0.64,0,17.9,66,34,34.68,7.69,26.99,0,0,0,2.17,1.91,22.36,0,0,72.94,0
120,新北市,2017/01/06,新店,3.2,0.66,0,16.8,58,40,31.55,6.91,24.64,0,0,0,1.33,0.74,21.93,0,0,78.48,0
121,新北市,2017/01/06,淡水,2.8,0.46,0,23.3,56,31,20.19,2.67,17.52,0,0,0,0,0,0,0,0,0,0
122,新北市,2017/01/06,汐止,4.5,0.6,0,18.4,58,38,40.1,15.91,24.19,0,0,0,1.47,1.28,20.72,0,0,85.12,0
123,新北市,2017/01/06,土城,3.3,0.68,0,16,64,39,34.18,7.56,26.63,2.33,0.325,2.005,1.12,0.43,22.27,0,0,80.44,0
124,新北市,2017/01/06,林口,2.8,0.42,0,25.5,87,46,25.04,4.96,20.08,0,0,0,1.63,1.41,19.63,0,0,91.88,0
125,新北市,2017/01/06,萬里,3,0.32,0,31.4,51,24,12.63,3.71,8.92,0,0,0,1.84,1.42,20.6,1.33,3.94,85.72,93.66
126,新北市,2017/01/05,板橋,8.9,0.81,0,15.6,87,43,45.95,12.6,33.36,2.457,0.47,1.987,1.45,1.02,22.47,0,0,74.42,0
127,新北市,2017/01/05,三重,6.1,1.88,0,0,81,32,136.39,89.32,47.07,2.926,0.751,2.175,0,0,22.85,0,0,71.73,0
128,新北市,2017/01/05,菜寮,5.8,0.75,0,19.3,69,44,44.69,12.83,31.86,0,0,0,1.27,0.83,22.94,0,0,76.56,0
129,新北市,2017/01/05,永和,3.7,1.57,0,12.3,58,40,77.13,35.86,41.27,2.619,0.6,2.019,1.02,0.65,22.69,0,0,73.76,0
130,新北市,2017/01/05,新莊,7,0.79,0,15.6,76,41,47.78,16.27,31.51,0,0,0,1.35,1.05,22.22,0,0,71.5,0
