Date,SO2 (ppb),O3 (ppb),PM 2.5  (μg/m 3 ),NO2 (ppb)
2016/11/14,3.4,37.2,69,28.25
2016/11/13,3.4,35.1,44,21.53
2016/11/12,3.4,25,39,26.44
2016/11/11,2.8,14,20,29.4
2016/11/10,2.4,17.1,12,22.02
2016/11/09,2.5,28.3,9,15.38
2016/11/08,1.9,29,14,16.98
2016/11/07,2.3,28.1,26,18.59
2016/11/06,2.1,38.5,35,19.99
2016/11/05,3.3,36.7,34,19.06
2016/11/04,3.6,30.2,32,27
2016/11/03,2,30.2,12,18.31
2016/11/02,1.2,32.5,6,10.48
2016/11/01,1.5,33.3,8,12.31
2016/10/31,3.9,28.6,16,17.63
2016/10/30,1.5,31.1,10,13.15
2016/10/29,1.4,30.8,29,13.2
2016/10/28,2.8,34.6,55,22.07
2016/10/27,3.6,34.4,54,22.18
2016/10/26,4.5,23.8,32,22.41
2016/10/25,5.1,24.4,27,21.51
2016/10/24,3.3,25.1,22,21.28
2016/10/23,2.3,19.1,12,11.42
2016/10/22,2.3,18.4,15,10.39
2016/10/21,2.8,17.7,28,19.33
2016/10/19,5.8,44.3,52,23.98
2016/10/18,3.5,34.9,43,21.33
2016/10/17,4.6,46.8,51,17.26
2016/10/16,3.8,41.8,46,14.98
2016/10/15,3.5,38.5,42,19.68
2016/10/14,2.5,24.3,22,19.49
2016/10/13,1.9,29.7,13,16.73
2016/10/12,0.8,23.8,9,16.32
2016/10/11,2.2,26.6,8,14.44
2016/10/10,0.5,28.9,4,11.31
2016/10/09,1,26.1,6,10.98
2016/10/08,2.3,8.4,7,11.91
2016/10/07,2.7,11.1,28,15.55
2016/10/06,2.6,35.3,41,17.2
2016/10/05,4,37.4,38,21.15
2016/10/04,2.7,32.7,25,20
2016/10/03,1.9,30.6,27,15.97
2016/10/02,2.8,24.9,21,12.73
2016/10/01,1.9,20.1,21,11.63
2016/09/30,2.4,19.6,16,12.58
2016/09/29,5.9,19.9,19,16.4
2016/09/28,1.3,25.2,11,10.02
2016/09/27,1.1,11.8,2,3.44
2016/09/26,1.8,15.8,12,12.56
2016/09/25,3.2,25.6,26,16.54
2016/09/24,2.7,35.5,25,19.99
2016/09/23,1.6,35.7,22,19.26
2016/09/22,2.5,37.7,25,18.87
2016/09/21,2.5,34,25,20.17
2016/09/20,1.8,35.6,27,16.59
2016/09/19,2.1,42.5,27,16.54
2016/09/18,2,32.7,10,9.65
2016/09/17,1.2,10.4,10,10.85
2016/09/16,1.6,23,9,8.83
2016/09/15,1.8,11.3,15,10.28
2016/09/14,1.8,10.2,11,14.08
2016/09/13,1.3,38.4,11,12.17
2016/09/12,2.8,29.6,13,11.26
2016/09/11,3.3,20.3,12,10.82
2016/09/10,1.6,20.7,12,11.86
2016/09/09,2.3,15,10,11.89
2016/09/08,2.3,14.1,10,11.93
2016/09/07,2.5,17,5,9.04
2016/09/06,2.4,23.9,10,10.23
2016/09/05,2.3,39.2,16,11.7
2016/09/04,1.9,35.3,14,12.45
2016/09/03,2,13.5,12,16.7
2016/09/02,2.4,20.6,19,12.87
2016/09/01,2.3,55.3,45,12.11
2016/08/31,3.8,50.7,32,15.77
2016/08/30,3.3,38.3,37,16.09
2016/08/29,1.3,49.2,28,16.16
2016/08/28,1.3,40.1,26,11.85
2016/08/26,3.4,41.2,42,15.52
2016/08/25,3.6,49,37,14.41
2016/08/24,2.7,47.5,33,10.78
2016/08/23,2.8,44.3,30,10.47
2016/08/22,3.8,30.7,27,13.53
2016/08/21,2.8,26.7,20,8.06
2016/08/20,2.3,23.9,12,8.6
2016/08/19,2.5,21.5,12,12.94
2016/08/18,2.5,22.7,8,10.91
2016/08/17,2.1,24.2,10,11.38
2016/08/16,2.8,23.5,16,12.57
2016/08/15,3.5,28.8,14,14.32
2016/08/14,2.4,34.4,18,9.16
2016/08/13,3.1,26.2,13,14.12
2016/08/12,4.1,12.4,13,13.79
2016/08/11,2.6,29.6,18,11.43
2016/08/10,3.2,30.8,14,14.51
2016/08/09,2.8,30.4,13,11.2
2016/08/08,1.2,22.5,12,9.48
2016/08/07,1.7,30.9,21,9.2
2016/08/06,2.8,37.6,26,13.38
2016/08/05,3.4,27.9,19,14.13
2016/08/04,5.4,21.7,15,15.32
2016/08/03,3.3,33.2,16,10.31
2016/08/02,2.2,26.6,19,15.27
2016/08/01,2.3,27.8,0.0,13.47
2016/07/31,2.1,51.4,0.0,9.84
2016/07/30,1.3,54.1,0.0,10.39
2016/07/27,2.2,26.8,0.0,10.58
2016/07/26,3,33,0.0,13.27
2016/07/25,3.6,25,0.0,14.32
2016/07/24,2.7,24.4,0.0,9.9
2016/07/23,2.4,29.4,0.0,9.54
2016/07/22,2.4,26.9,0.0,11.66
2016/07/21,2.6,25,0.0,10.78
2016/07/20,2.4,23.4,0.0,9.55
2016/07/19,1.9,17.2,0.0,9.4
2016/07/18,2.7,15,0.0,8.81
2016/07/17,1.7,20.4,0.0,6.41
2016/07/16,1.6,19.1,0.0,7.53
2016/07/15,2,19.4,0.0,6.63
2016/07/14,1.7,19.4,0.0,8.14
2016/07/13,0.0,0.0,8,0.0
2016/07/13,1.3,23.7,0.0,7.42
2016/07/12,0.0,0.0,6,0.0
2016/07/12,1.7,22.6,0.0,7.71
2016/07/11,1.7,19.5,0.0,9.05
2016/07/11,0.0,0.0,6,0.0
2016/07/10,1.4,22.7,0.0,7.21
2016/07/10,0.0,0.0,9,0.0
2016/07/09,1.9,11.9,0.0,8.81
2016/07/09,0.0,0.0,5,0.0
2016/07/08,1.4,10.6,0.0,10.21
2016/07/08,0.0,0.0,6,0.0
2016/07/07,3.3,42.4,0.0,13.72
2016/07/07,0.0,0.0,31,0.0
2016/07/06,3,35.2,0.0,13.46
2016/07/06,0.0,0.0,23,0.0
2016/07/05,0.0,0.0,10,0.0
2016/07/05,2.1,25.2,0.0,9.99
2016/07/04,0.0,0.0,9,0.0
2016/07/04,2.2,22.4,0.0,9.46
2016/07/03,1.9,20.4,0.0,8.8
2016/07/03,0.0,0.0,8,0.0
2016/07/02,2.1,27.6,0.0,11.13
2016/07/02,0.0,0.0,13,0.0
2016/07/01,0.0,0.0,14,0.0
2016/07/01,3.7,27.9,0.0,11.48
2016/06/30,0.0,0.0,11,0.0
2016/06/30,2.5,26,0.0,12.35
2016/06/29,0.0,0.0,13,0.0
2016/06/29,2.7,28.6,0.0,10.08
2016/06/28,0.0,0.0,11,0.0
2016/06/28,2.5,24.9,0.0,11.28
2016/06/27,0.0,0.0,12,0.0
2016/06/27,2.7,27.2,0.0,10.36
2016/06/26,0.0,0.0,12,0.0
2016/06/26,4,23.2,0.0,9.56
2016/06/25,1.8,21.8,0.0,7.86
2016/06/25,0.0,0.0,8,0.0
2016/06/24,1.7,22.4,0.0,10.68
2016/06/24,0.0,0.0,10,0.0
2016/06/23,0.0,0.0,11,0.0
2016/06/23,1.9,19.4,0.0,11.75
2016/06/22,0.0,0.0,10,0.0
2016/06/22,2,19.9,0.0,8.97
2016/06/21,0.0,0.0,11,0.0
2016/06/21,2.1,23.8,0.0,10.14
2016/06/20,4.1,33.5,0.0,12.69
2016/06/20,0.0,0.0,18,0.0
2016/06/19,2.2,24.4,0.0,8.2
2016/06/19,0.0,0.0,13,0.0
2016/06/18,2.7,23.4,0.0,10.13
2016/06/18,0.0,0.0,13,0.0
2016/06/17,0.0,0.0,8,0.0
2016/06/17,2,21.6,0.0,8.97
2016/06/16,2.2,18.3,0.0,8.04
2016/06/16,0.0,0.0,10,0.0
2016/06/15,0.0,0.0,9,0.0
2016/06/15,1.8,18.5,0.0,8.83
2016/06/14,0.0,0.0,10,0.0
2016/06/14,2.8,13.7,0.0,13.68
2016/06/13,0.0,0.0,6,0.0
2016/06/13,2.1,16,0.0,12.27
2016/06/12,0.7,16.7,0.0,8.99
2016/06/12,0.0,0.0,4,0.0
2016/06/11,0.0,0.0,6,0.0
2016/06/11,1.8,20.4,0.0,10.69
