序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
818,臺中市,2015/10/30,大里,2.7,0.51,433.96,31.5,-,58,-,19.34,3.59,15.75,-,2.058,0.21,1.85,1.94,1.22,27.2,-,67.65,-
819,臺中市,2015/10/30,大里,-,-,-,-,-,-,33.0,-,-,-,-,-,-,-,-,-,-,-,-,-
820,臺中市,2015/10/29,大里,-,-,-,-,-,-,64.0,-,-,-,-,-,-,-,-,-,-,-,-,-
821,臺中市,2015/10/29,大里,3.7,0.73,455.95,34.6,-,115,-,23.29,4.13,19.16,-,2.193,0.29,1.91,1.63,1.29,27.21,-,74.49,-
822,臺中市,2015/10/28,大里,-,-,-,-,-,-,67.0,-,-,-,-,-,-,-,-,-,-,-,-,-
823,臺中市,2015/10/28,大里,4.8,0.8,457.9,41.8,-,107,-,27.86,4.33,23.53,-,2.26,0.33,1.93,1.65,1.35,27.24,-,74.18,-
824,臺中市,2015/10/27,大里,-,-,-,-,-,-,54.0,-,-,-,-,-,-,-,-,-,-,-,-,-
825,臺中市,2015/10/27,大里,4.8,0.53,442.87,38.4,-,90,-,20.46,2.07,18.39,-,2.042,0.19,1.85,1.81,1.35,27.5,-,73.23,-
826,臺中市,2015/10/26,大里,-,-,-,-,-,-,53.0,-,-,-,-,-,-,-,-,-,-,-,-,-
827,臺中市,2015/10/26,大里,5.6,0.72,454.4,29.9,-,85,-,32.68,5.45,27.23,-,2.18,0.29,1.89,1.51,1.37,27.2,-,74.55,-
828,臺中市,2015/10/25,大里,-,-,-,-,-,-,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-
829,臺中市,2015/10/25,大里,2.0,0.54,435.15,28.4,-,59,-,25.72,4.12,21.6,-,2.095,0.22,1.88,1.37,1.07,28.01,-,70.79,-
830,臺中市,2015/10/24,大里,-,-,-,-,-,-,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-
831,臺中市,2015/10/24,大里,2.9,0.59,436.76,26.0,-,42,-,27.0,5.2,21.8,-,2.109,0.26,1.85,1.55,0.99,28.1,-,72.46,-
832,臺中市,2015/10/23,大里,-,-,-,-,-,-,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-
833,臺中市,2015/10/23,大里,1.8,0.42,419.51,32.4,-,36,-,17.9,1.72,16.19,-,1.929,0.15,1.78,2.21,1.18,27.82,-,70.12,-
834,臺中市,2015/10/22,大里,-,-,-,-,-,-,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-
835,臺中市,2015/10/22,大里,2.6,0.5,432.69,25.2,-,45,-,30.1,8.18,21.91,-,2.138,0.28,1.86,1.79,1.09,27.1,-,72.96,-
836,臺中市,2015/10/21,大里,3.9,0.83,447.33,21.2,-,115,-,35.29,7.26,28.03,-,2.347,0.44,1.9,1.28,0.92,26.9,-,76.2,-
837,臺中市,2015/10/21,大里,-,-,-,-,-,-,63.0,-,-,-,-,-,-,-,-,-,-,-,-,-
838,臺中市,2015/10/20,大里,-,-,-,-,-,-,64.0,-,-,-,-,-,-,-,-,-,-,-,-,-
839,臺中市,2015/10/20,大里,5.2,0.87,453.22,34.8,-,120,-,35.82,5.13,30.69,-,2.503,0.54,1.97,1.32,0.97,27.34,-,75.9,-
840,臺中市,2015/10/19,大里,-,-,-,-,-,-,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-
841,臺中市,2015/10/19,大里,2.9,0.71,433.49,29.4,-,65,-,35.7,6.02,29.68,-,2.229,0.33,1.9,1.33,0.99,26.76,-,72.66,-
842,臺中市,2015/10/18,大里,-,-,-,-,-,-,26.0,-,-,-,-,-,-,-,-,-,-,-,-,-
843,臺中市,2015/10/18,大里,2.5,0.45,420.97,32.8,-,49,-,22.48,3.78,18.71,-,1.991,0.15,1.84,1.77,1.16,26.01,-,68.77,-
844,臺中市,2015/10/17,大里,3.1,0.54,430.27,29.4,-,57,-,29.12,5.85,23.27,-,2.111,0.26,1.85,1.63,1.14,26.23,-,64.95,-
845,臺中市,2015/10/17,大里,-,-,-,-,-,-,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-
846,臺中市,2015/10/16,大里,3.3,0.55,429.89,27.3,-,49,-,29.52,5.08,24.44,-,2.103,0.26,1.84,1.68,1.07,26.08,-,67.97,-
847,臺中市,2015/10/16,大里,-,-,-,-,-,-,30.0,-,-,-,-,-,-,-,-,-,-,-,-,-
848,臺中市,2015/10/15,大里,1.9,0.46,426.98,36.4,-,48,-,23.36,3.69,19.66,-,2.033,0.2,1.83,1.93,1.07,25.56,-,65.51,-
849,臺中市,2015/10/15,大里,-,-,-,-,-,-,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-
850,臺中市,2015/10/14,大里,-,-,-,-,-,-,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-
851,臺中市,2015/10/14,大里,3.1,0.59,434.9,36.7,-,65,-,28.55,3.06,25.49,-,2.146,0.26,1.88,1.68,1.09,25.6,-,63.22,-
852,臺中市,2015/10/13,大里,2.5,0.63,434.57,45.4,-,73,-,24.83,2.0,22.83,-,2.116,0.22,1.9,1.79,1.18,26.28,-,60.6,-
853,臺中市,2015/10/13,大里,-,-,-,-,-,-,43.0,-,-,-,-,-,-,-,-,-,-,-,-,-
854,臺中市,2015/10/12,大里,-,-,-,-,-,-,26.0,-,-,-,-,-,-,-,-,-,-,-,-,-
855,臺中市,2015/10/12,大里,2.5,0.61,431.86,31.3,-,48,-,27.02,2.84,24.18,-,2.118,0.22,1.9,1.39,0.93,25.65,-,67.71,-
856,臺中市,2015/10/11,大里,-,-,-,-,-,-,26.0,-,-,-,-,-,-,-,-,-,-,-,-,-
857,臺中市,2015/10/11,大里,2.1,0.45,420.87,35.3,-,45,-,17.73,1.07,16.72,-,1.943,0.11,1.83,2.1,1.11,25.03,-,66.31,-
858,臺中市,2015/10/10,大里,1.5,0.43,426.31,29.2,-,29,-,18.5,2.1,16.37,-,1.991,0.15,1.84,2.26,1.14,26.39,-,67.22,-
859,臺中市,2015/10/10,大里,-,-,-,-,-,-,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-
860,臺中市,2015/10/09,大里,1.8,0.36,420.1,27.4,-,16,-,15.25,1.89,13.35,-,1.894,0.13,1.77,1.9,1.2,27.06,-,74.15,-
861,臺中市,2015/10/09,大里,-,-,-,-,-,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-
862,臺中市,2015/10/08,大里,-,-,-,-,-,-,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-
863,臺中市,2015/10/08,大里,2.8,0.45,431.72,29.9,-,65,-,18.01,3.57,14.44,-,1.993,0.21,1.78,1.5,1.3,27.6,-,74.14,-
864,臺中市,2015/10/07,大里,4.7,0.53,442.88,38.6,-,74,-,20.84,2.55,18.29,-,2.062,0.25,1.82,1.67,1.38,28.47,-,71.3,-
865,臺中市,2015/10/07,大里,-,-,-,-,-,-,41.0,-,-,-,-,-,-,-,-,-,-,-,-,-
866,臺中市,2015/10/06,大里,4.4,0.58,450.87,42.3,-,89,-,21.95,2.69,19.26,-,2.068,0.25,1.82,1.75,1.58,28.82,-,73.61,-
867,臺中市,2015/10/06,大里,-,-,-,-,-,-,56.0,-,-,-,-,-,-,-,-,-,-,-,-,-
868,臺中市,2015/10/05,大里,-,-,-,-,-,-,44.0,-,-,-,-,-,-,-,-,-,-,-,-,-
869,臺中市,2015/10/05,大里,3.8,0.55,441.51,33.9,-,73,-,18.57,2.02,16.53,-,2.025,0.25,1.77,1.48,1.19,28.66,-,74.15,-
870,臺中市,2015/10/04,大里,5.6,0.57,442.68,40.2,-,77,-,17.96,1.02,16.93,-,1.921,0.13,1.8,1.81,1.66,28.85,-,75.62,-
871,臺中市,2015/10/04,大里,-,-,-,-,-,-,40.0,-,-,-,-,-,-,-,-,-,-,-,-,-
872,臺中市,2015/10/03,大里,3.2,0.64,438.59,45.6,-,79,-,19.44,1.23,18.17,-,2.087,0.22,1.87,1.79,1.59,28.89,-,74.93,-
873,臺中市,2015/10/03,大里,-,-,-,-,-,-,44.0,-,-,-,-,-,-,-,-,-,-,-,-,-
874,臺中市,2015/10/02,大里,-,-,-,-,-,-,30.0,-,-,-,-,-,-,-,-,-,-,-,-,-
875,臺中市,2015/10/02,大里,1.9,0.75,429.29,36.8,-,49,-,23.94,3.32,20.62,-,2.098,0.24,1.86,1.7,1.19,29.04,-,71.23,-
876,臺中市,2015/10/01,大里,2.4,0.59,436.42,23.5,-,43,-,19.4,3.84,15.56,-,2.016,0.23,1.79,1.64,1.35,29.14,-,74.44,-
877,臺中市,2015/10/01,大里,-,-,-,-,-,-,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-
878,臺中市,2015/09/30,大里,-,-,-,-,-,-,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-
879,臺中市,2015/09/30,大里,1.8,0.59,440.57,32.5,-,40,-,23.58,5.26,18.33,-,2.106,0.24,1.86,1.81,1.26,28.98,-,73.46,-
880,臺中市,2015/09/29,大里,-,-,-,-,-,-,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-
881,臺中市,2015/09/29,大里,1.6,0.57,412.3,27.0,-,49,-,16.78,4.33,12.45,-,2.012,0.19,1.82,3.45,3.12,27.3,-,78.52,-
882,臺中市,2015/09/28,大里,-,-,-,-,-,-,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-
883,臺中市,2015/09/28,大里,1.1,0.31,413.9,26.6,-,24,-,9.6,1.26,8.34,-,1.813,0.06,1.75,4.3,2.46,26.5,-,80.6,-
884,臺中市,2015/09/27,大里,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-
885,臺中市,2015/09/27,大里,1.8,0.32,407.43,51.0,-,32,-,10.51,1.62,8.88,-,1.799,0.05,1.75,3.2,1.26,27.54,-,62.22,-
886,臺中市,2015/09/26,大里,-,-,-,-,-,-,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-
887,臺中市,2015/09/26,大里,3.1,0.46,420.79,37.9,-,50,-,20.36,1.48,18.86,-,1.974,0.17,1.81,2.75,1.17,29.04,-,63.72,-
888,臺中市,2015/09/25,大里,3.2,0.56,430.28,41.3,-,51,-,22.27,2.68,19.59,-,2.06,0.24,1.83,1.85,1.29,29.77,-,68.02,-
889,臺中市,2015/09/25,大里,-,-,-,-,-,-,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-
890,臺中市,2015/09/24,大里,-,-,-,-,-,-,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-
891,臺中市,2015/09/24,大里,2.5,0.5,428.06,33.0,-,52,-,19.75,2.79,16.96,-,2.112,0.28,1.84,1.61,1.23,29.06,-,72.56,-
892,臺中市,2015/09/23,大里,3.4,0.49,430.11,35.6,-,52,-,18.92,1.83,17.09,-,2.071,0.23,1.84,1.72,1.48,28.96,-,70.93,-
893,臺中市,2015/09/23,大里,-,-,-,-,-,-,37.0,-,-,-,-,-,-,-,-,-,-,-,-,-
894,臺中市,2015/09/22,大里,4.7,0.6,432.08,39.1,-,68,-,21.52,2.24,19.29,-,2.118,0.27,1.85,1.56,1.18,28.92,-,68.57,-
895,臺中市,2015/09/22,大里,-,-,-,-,-,-,43.0,-,-,-,-,-,-,-,-,-,-,-,-,-
896,臺中市,2015/09/21,大里,-,-,-,-,-,-,45.0,-,-,-,-,-,-,-,-,-,-,-,-,-
897,臺中市,2015/09/21,大里,5.0,0.58,435.77,44.0,-,72,-,21.38,1.09,20.3,-,2.07,0.2,1.87,1.59,1.18,28.78,-,66.93,-
898,臺中市,2015/09/20,大里,-,-,-,-,-,-,56.0,-,-,-,-,-,-,-,-,-,-,-,-,-
899,臺中市,2015/09/20,大里,4.1,0.54,430.32,59.5,-,88,-,17.73,0.85,16.87,-,2.033,0.15,1.89,1.81,1.54,28.57,-,65.61,-
900,臺中市,2015/09/19,大里,2.6,0.56,427.37,53.8,-,76,-,22.62,1.5,21.12,-,2.149,0.25,1.9,1.73,1.32,27.88,-,66.02,-
901,臺中市,2015/09/19,大里,-,-,-,-,-,-,44.0,-,-,-,-,-,-,-,-,-,-,-,-,-
902,臺中市,2015/09/18,大里,2.6,0.53,427.86,44.8,-,59,-,25.56,3.91,21.65,-,2.158,0.25,1.91,2.15,1.28,28.2,-,62.58,-
903,臺中市,2015/09/18,大里,-,-,-,-,-,-,32.0,-,-,-,-,-,-,-,-,-,-,-,-,-
904,臺中市,2015/09/17,大里,-,-,-,-,-,-,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-
905,臺中市,2015/09/17,大里,1.6,0.46,421.22,48.6,-,50,-,18.69,2.85,15.84,-,2.035,0.19,1.84,1.95,1.18,29.13,-,65.54,-
906,臺中市,2015/09/16,大里,-,-,-,-,-,-,26.0,-,-,-,-,-,-,-,-,-,-,-,-,-
907,臺中市,2015/09/16,大里,2.1,0.51,426.84,42.0,-,50,-,19.72,2.6,17.13,-,2.05,0.21,1.84,1.96,1.13,29.26,-,70.02,-
908,臺中市,2015/09/15,大里,2.8,0.51,436.18,46.9,-,64,-,18.71,1.9,16.81,-,2.059,0.2,1.86,1.76,1.22,29.32,-,68.38,-
909,臺中市,2015/09/15,大里,-,-,-,-,-,-,38.0,-,-,-,-,-,-,-,-,-,-,-,-,-
910,臺中市,2015/09/14,大里,4.9,0.64,438.04,47.1,-,80,-,23.95,1.99,21.96,-,2.124,0.23,1.89,1.68,1.34,29.28,-,65.45,-
911,臺中市,2015/09/14,大里,-,-,-,-,-,-,41.0,-,-,-,-,-,-,-,-,-,-,-,-,-
912,臺中市,2015/09/13,大里,2.6,0.56,429.66,44.2,-,69,-,21.64,1.79,19.85,-,2.072,0.18,1.89,1.61,1.26,28.47,-,67.88,-
913,臺中市,2015/09/13,大里,-,-,-,-,-,-,38.0,-,-,-,-,-,-,-,-,-,-,-,-,-
914,臺中市,2015/09/12,大里,3.3,0.5,424.03,47.6,-,64,-,20.98,2.42,18.55,-,2.106,0.21,1.89,1.85,1.15,28.38,-,67.41,-
915,臺中市,2015/09/12,大里,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-,-,-,-,-,-
916,臺中市,2015/09/11,大里,3.7,0.55,430.64,42.3,-,60,-,26.1,3.38,22.72,-,2.218,0.25,1.97,1.71,1.21,28.0,-,68.03,-
917,臺中市,2015/09/11,大里,-,-,-,-,-,-,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-
918,臺中市,2015/09/10,大里,4.0,0.48,426.51,42.1,-,49,-,23.65,3.06,20.6,-,2.172,0.22,1.95,1.93,1.16,28.02,-,64.68,-
919,臺中市,2015/09/10,大里,-,-,-,-,-,-,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-
920,臺中市,2015/09/09,大里,-,-,-,-,-,-,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-
921,臺中市,2015/09/09,大里,2.9,0.42,413.21,51.0,-,45,-,16.3,1.08,15.22,-,2.023,0.18,1.85,1.98,1.26,28.97,-,65.56,-
922,臺中市,2015/09/08,大里,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-
923,臺中市,2015/09/08,大里,2.5,0.49,425.4,38.2,-,29,-,18.22,2.17,16.02,-,2.147,0.25,1.9,1.75,1.06,28.52,-,69.73,-
924,臺中市,2015/09/07,大里,2.4,0.42,417.33,18.3,-,21,-,18.66,3.94,14.73,-,2.028,0.27,1.76,1.36,0.98,26.99,-,83.32,-
925,臺中市,2015/09/07,大里,-,-,-,-,-,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-
926,臺中市,2015/09/06,大里,1.1,0.28,414.18,24.0,-,27,-,9.77,2.11,7.66,-,1.85,0.07,1.79,2.23,2.02,29.73,-,69.01,-
927,臺中市,2015/09/06,大里,-,-,-,-,-,-,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-
928,臺中市,2015/09/05,大里,1.8,0.42,436.03,25.5,-,35,-,18.43,5.49,12.93,-,2.032,0.17,1.86,1.75,1.49,29.0,-,70.71,-
929,臺中市,2015/09/05,大里,-,-,-,-,-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-
930,臺中市,2015/09/04,大里,-,-,-,-,-,-,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-
931,臺中市,2015/09/04,大里,3.6,0.46,433.72,17.5,-,36,-,21.64,6.12,15.52,-,2.214,0.26,1.95,1.75,1.62,29.18,-,71.11,-
932,臺中市,2015/09/03,大里,4.0,0.47,435.48,21.0,-,31,-,21.9,6.22,15.68,-,2.173,0.28,1.89,1.57,1.23,28.78,-,71.18,-
933,臺中市,2015/09/03,大里,-,-,-,-,-,-,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-
934,臺中市,2015/09/02,大里,2.9,0.43,434.28,21.4,-,24,-,17.63,4.63,13.0,-,2.145,0.25,1.9,1.61,1.24,27.82,-,75.4,-
935,臺中市,2015/09/02,大里,-,-,-,-,-,-,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-
936,臺中市,2015/09/01,大里,1.6,0.43,425.82,17.6,-,20,-,20.83,6.54,14.29,-,2.204,0.33,1.88,1.52,1.07,27.84,-,74.12,-
937,臺中市,2015/09/01,大里,-,-,-,-,-,-,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-
938,臺中市,2015/08/31,大里,2.1,0.72,438.17,7.2,-,20,-,28.36,11.49,16.87,-,2.381,0.5,1.88,0.95,0.75,26.18,-,80.66,-
939,臺中市,2015/08/31,大里,-,-,-,-,-,-,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-
940,臺中市,2015/08/30,大里,-,-,-,-,-,-,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-
941,臺中市,2015/08/30,大里,1.5,0.32,420.81,11.9,-,7,-,14.69,3.98,10.71,-,1.936,0.14,1.8,1.32,1.12,25.58,-,82.97,-
942,臺中市,2015/08/29,大里,-,-,-,-,-,-,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-
943,臺中市,2015/08/29,大里,2.0,0.3,417.88,13.5,-,13,-,14.43,4.93,9.5,-,1.935,0.2,1.73,1.98,1.71,26.01,-,79.67,-
944,臺中市,2015/08/28,大里,-,-,-,-,-,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-
945,臺中市,2015/08/28,大里,2.2,0.43,432.28,14.0,-,22,-,20.56,7.45,13.12,-,2.089,0.25,1.84,1.39,1.24,26.8,-,79.05,-
946,臺中市,2015/08/27,大里,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
947,臺中市,2015/08/27,大里,1.6,0.41,419.45,20.3,-,14,-,18.83,4.07,14.76,-,2.04,0.24,1.8,1.26,0.94,26.71,-,82.43,-
948,臺中市,2015/08/26,大里,1.7,0.49,416.03,33.1,-,19,-,16.15,1.98,14.17,-,2.066,0.2,1.86,1.21,1.03,27.11,-,81.95,-
949,臺中市,2015/08/26,大里,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-
950,臺中市,2015/08/25,大里,3.1,0.37,427.15,39.0,-,31,-,12.47,2.01,10.46,-,1.982,0.13,1.86,2.11,1.76,29.76,-,69.8,-
951,臺中市,2015/08/25,大里,-,-,-,-,-,-,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-
952,臺中市,2015/08/24,大里,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-
953,臺中市,2015/08/24,大里,2.2,0.33,413.53,22.5,-,25,-,17.06,4.56,12.5,-,1.956,0.21,1.75,1.65,1.31,29.11,-,74.41,-
954,臺中市,2015/08/23,大里,2.3,0.29,428.02,24.2,-,41,-,11.4,2.58,8.81,-,1.924,0.09,1.84,2.72,1.27,29.38,-,73.7,-
955,臺中市,2015/08/23,大里,-,-,-,-,-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-
956,臺中市,2015/08/22,大里,3.4,0.48,448.84,59.3,-,88,-,13.55,1.41,12.12,-,2.073,0.17,1.91,1.8,1.49,30.76,-,69.22,-
957,臺中市,2015/08/22,大里,-,-,-,-,-,-,49.0,-,-,-,-,-,-,-,-,-,-,-,-,-
958,臺中市,2015/08/21,大里,3.7,0.57,453.88,59.0,-,83,-,16.5,1.18,15.31,-,2.143,0.23,1.92,1.52,1.28,30.46,-,69.39,-
959,臺中市,2015/08/21,大里,-,-,-,-,-,-,51.0,-,-,-,-,-,-,-,-,-,-,-,-,-
960,臺中市,2015/08/20,大里,2.6,0.53,440.28,32.3,-,62,-,16.22,1.87,14.39,-,2.009,0.2,1.81,1.64,1.19,29.83,-,70.76,-
961,臺中市,2015/08/20,大里,-,-,-,-,-,-,34.0,-,-,-,-,-,-,-,-,-,-,-,-,-
962,臺中市,2015/08/19,大里,-,-,-,-,-,-,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-
963,臺中市,2015/08/19,大里,2.1,0.39,429.65,26.8,-,35,-,16.09,2.98,13.11,-,2.034,0.23,1.8,1.69,1.24,29.23,-,73.31,-
964,臺中市,2015/08/18,大里,3.2,0.64,428.34,16.8,-,34,-,24.29,8.74,15.55,-,2.208,0.39,1.82,1.43,1.12,28.41,-,75.6,-
965,臺中市,2015/08/18,大里,-,-,-,-,-,-,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-
966,臺中市,2015/08/17,大里,4.0,0.53,422.19,1.4,-,24,-,27.98,14.18,13.8,-,2.161,0.36,1.81,1.6,1.15,27.19,-,77.66,-
967,臺中市,2015/08/17,大里,-,-,-,-,-,-,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-
968,臺中市,2015/08/16,大里,1.8,0.42,417.78,5.0,-,17,-,14.44,4.77,9.67,-,1.908,0.15,1.76,1.63,1.22,27.04,-,77.4,-
969,臺中市,2015/08/16,大里,-,-,-,-,-,-,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-
970,臺中市,2015/08/15,大里,3.4,0.43,419.57,10.9,-,20,-,19.74,5.55,14.2,-,2.199,0.44,1.76,1.58,1.36,27.51,-,77.17,-
971,臺中市,2015/08/15,大里,-,-,-,-,-,-,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-
972,臺中市,2015/08/14,大里,2.6,0.29,416.79,9.2,-,14,-,13.85,3.84,10.0,-,1.915,0.2,1.72,1.78,1.62,27.18,-,75.62,-
973,臺中市,2015/08/14,大里,-,-,-,-,-,-,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-
974,臺中市,2015/08/13,大里,-,-,-,-,-,-,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-
975,臺中市,2015/08/13,大里,3.0,0.25,405.87,19.8,-,20,-,10.17,2.03,8.15,-,1.845,0.15,1.69,2.37,2.14,28.54,-,68.3,-
976,臺中市,2015/08/12,大里,-,-,-,-,-,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-
977,臺中市,2015/08/12,大里,1.8,0.22,412.83,19.5,-,24,-,11.14,3.47,7.66,-,1.796,0.1,1.7,2.57,2.35,28.81,-,69.46,-
978,臺中市,2015/08/11,大里,-,-,-,-,-,-,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-
979,臺中市,2015/08/11,大里,3.0,0.29,418.98,17.7,-,28,-,13.4,2.76,10.64,-,1.894,0.15,1.74,1.9,1.8,28.7,-,68.11,-
980,臺中市,2015/08/10,大里,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-
981,臺中市,2015/08/10,大里,1.7,0.36,422.45,13.5,-,37,-,14.37,3.59,10.78,-,1.942,0.17,1.77,2.19,1.89,28.17,-,67.81,-
982,臺中市,2015/08/09,大里,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-
983,臺中市,2015/08/09,大里,3.0,0.42,415.89,19.1,-,18,-,16.57,4.0,12.57,-,1.936,0.17,1.77,2.07,1.63,25.66,-,80.03,-
984,臺中市,2015/08/08,大里,-,-,-,-,-,-,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-
985,臺中市,2015/08/08,大里,1.5,0.09,400.21,20.5,-,15,-,6.1,2.71,3.39,-,1.669,0.03,1.65,6.37,3.69,25.44,-,80.16,-
986,臺中市,2015/08/07,大里,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-
987,臺中市,2015/08/07,大里,1.6,0.27,414.61,20.8,-,36,-,12.93,3.24,9.69,-,1.855,0.13,1.73,3.35,1.44,28.34,-,68.2,-
988,臺中市,2015/08/06,大里,2.3,0.35,420.85,32.9,-,54,-,14.51,2.27,12.24,-,1.882,0.15,1.73,1.98,1.37,26.37,-,64.36,-
989,臺中市,2015/08/06,大里,-,-,-,-,-,-,32.0,-,-,-,-,-,-,-,-,-,-,-,-,-
990,臺中市,2015/08/05,大里,-,-,-,-,-,-,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-
991,臺中市,2015/08/05,大里,3.6,0.25,425.81,-,-,42,-,17.51,3.51,14.01,-,1.888,0.18,1.71,2.04,1.54,27.45,-,65.5,-
992,臺中市,2015/08/04,大里,-,-,-,-,-,-,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-
993,臺中市,2015/08/04,大里,5.4,0.13,434.25,-,-,41,-,22.08,3.83,18.25,-,1.931,0.22,1.71,2.0,1.69,28.54,-,63.74,-
994,臺中市,2015/08/03,大里,5.8,0.16,437.0,22.0,-,38,-,18.54,3.3,15.24,-,1.889,0.16,1.73,1.9,1.53,28.84,-,62.45,-
995,臺中市,2015/08/03,大里,-,-,-,-,-,-,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-
996,臺中市,2015/08/02,大里,-,-,-,-,-,-,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-
997,臺中市,2015/08/02,大里,4.5,0.26,432.1,22.2,-,29,-,16.51,3.26,13.25,-,1.841,0.1,1.74,1.99,1.71,28.5,-,66.28,-
998,臺中市,2015/08/01,大里,3.7,0.3,430.34,19.6,-,27,-,17.23,5.18,12.05,-,1.855,0.15,1.71,1.96,1.5,28.46,-,64.96,-
999,臺中市,2015/08/01,大里,-,-,-,-,-,-,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-
1000,臺中市,2015/07/31,大里,-,-,-,-,-,-,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-
1001,臺中市,2015/07/31,大里,3.3,0.27,429.74,22.9,-,34,-,13.01,3.19,9.81,-,1.826,0.13,1.7,1.96,1.65,28.51,-,66.3,-
1002,臺中市,2015/07/30,大里,-,-,-,-,-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-
1003,臺中市,2015/07/30,大里,3.3,0.31,423.89,22.6,-,32,-,15.18,2.82,12.36,-,1.837,0.15,1.69,1.95,1.58,27.75,-,69.06,-
1004,臺中市,2015/07/29,大里,-,-,-,-,-,-,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-
1005,臺中市,2015/07/29,大里,2.5,0.26,411.85,22.1,-,24,-,13.61,3.42,10.2,-,1.856,0.15,1.71,1.86,1.46,26.6,-,68.85,-
